Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$10,000 under $25,000",10017," 16,466 "," 2,097 "
"$25,000 under $50,000",10017," 44,421 "," 1,861 "
"$50,000 under $75,000",10017," 75,211 "," 1,682 "
"$75,000 under $100,000",10017," 80,074 "," 1,235 "
"$100,000 under $200,000",10017," 254,423 "," 2,357 "
"$200,000 or more",10017," 2,423,802 "," 2,516 "
,,,
,10018," 1,312,850 "," 4,416 "
"Under $10,000",10018, 218 , 787 
"$10,000 under $25,000",10018," 4,362 ", 652 
"$25,000 under $50,000",10018," 20,319 ", 862 
"$50,000 under $75,000",10018," 23,689 ", 522 
"$75,000 under $100,000",10018," 20,550 ", 315 
"$100,000 under $200,000",10018," 57,047 ", 546 
"$200,000 or more",10018," 1,186,666 ", 732 
,,,
,10019," 3,830,286 "," 24,515 "
"Under $10,000",10019, 474 ," 3,426 "
"$10,000 under $25,000",10019," 19,572 "," 3,086 "
"$25,000 under $50,000",10019," 109,872 "," 4,531 "
"$50,000 under $75,000",10019," 152,625 "," 3,341 "
"$75,000 under $100,000",10019," 155,058 "," 2,316 "
"$100,000 under $200,000",10019," 457,880 "," 4,139 "
"$200,000 or more",10019," 2,934,804 "," 3,676 "
,,,
,10020," 326,223 "," 1,134 "
"Under $10,000",10020, 140 , 193 
"$10,000 under $25,000",10020, 518 , 67 
"$25,000 under $50,000",10020," 1,583 ", 73 
"$50,000 under $75,000",10020," 3,187 ", 90 
"$75,000 under $100,000",10020," 2,099 ", 51 
"$100,000 under $200,000",10020," 19,291 ", 191 
"$200,000 or more",10020," 299,404 ", 469 
,,,
,10021," 9,499,094 "," 29,820 "
"Under $10,000",10021," 1,464 "," 3,589 "
"$10,000 under $25,000",10021," 15,205 "," 2,521 "
"$25,000 under $50,000",10021," 93,800 "," 3,939 "
"$50,000 under $75,000",10021," 173,250 "," 3,936 "
"$75,000 under $100,000",10021," 190,235 "," 3,025 "
"$100,000 under $200,000",10021," 546,106 "," 5,333 "
"$200,000 or more",10021," 8,479,034 "," 7,477 "
,,,
,10022," 6,314,867 "," 20,815 "
"Under $10,000",10022, 795 ," 2,487 "
"$10,000 under $25,000",10022," 10,146 "," 1,677 "
"$25,000 under $50,000",10022," 63,261 "," 2,688 "
"$50,000 under $75,000",10022," 107,087 "," 2,483 "
"$75,000 under $100,000",10022," 118,729 "," 1,928 "
"$100,000 under $200,000",10022," 424,287 "," 4,048 "
"$200,000 or more",10022," 5,590,562 "," 5,504 "
,,,
,10023," 7,289,837 "," 34,334 "
"Under $10,000",10023," 1,284 "," 4,293 "
"$10,000 under $25,000",10023," 19,525 "," 3,425 "
"$25,000 under $50,000",10023," 109,820 "," 4,775 "
"$50,000 under $75,000",10023," 193,312 "," 4,389 "
"$75,000 under $100,000",10023," 207,212 "," 3,245 "
"$100,000 under $200,000",10023," 702,613 "," 6,586 "
"$200,000 or more",10023," 6,056,071 "," 7,621 "
,,,
,10024," 6,462,725 "," 31,925 "
"Under $10,000",10024," 2,029 "," 4,612 "
"$10,000 under $25,000",10024," 19,314 "," 3,208 "
"$25,000 under $50,000",10024," 110,522 "," 4,681 "
"$50,000 under $75,000",10024," 175,756 "," 3,999 "
"$75,000 under $100,000",10024," 186,835 "," 2,938 "
"$100,000 under $200,000",10024," 570,663 "," 5,446 "
"$200,000 or more",10024," 5,397,606 "," 7,041 "
,,,
,10025," 4,101,085 "," 47,778 "
"Under $10,000",10025," 2,378 "," 8,245 "
"$10,000 under $25,000",10025," 43,592 "," 7,674 "
"$25,000 under $50,000",10025," 223,793 "," 9,670 "
"$50,000 under $75,000",10025," 280,003 "," 6,343 "
"$75,000 under $100,000",10025," 253,642 "," 3,979 "
"$100,000 under $200,000",10025," 694,509 "," 6,601 "
"$200,000 or more",10025," 2,603,168 "," 5,266 "
,,,
,10026," 486,187 "," 16,054 "
"Under $10,000",10026, 294 ," 3,265 "
"$10,000 under $25,000",10026," 19,430 "," 4,165 "
"$25,000 under $50,000",10026," 92,325 "," 4,347 "
"$50,000 under $75,000",10026," 82,560 "," 1,963 "
"$75,000 under $100,000",10026," 54,751 ", 883 
"$100,000 under $200,000",10026," 104,253 "," 1,047 "
"$200,000 or more",10026," 132,575 ", 384 
,,,
,10027," 751,857 "," 25,372 "
"Under $10,000",10027, 936 ," 5,882 "
"$10,000 under $25,000",10027," 33,446 "," 6,758 "
"$25,000 under $50,000",10027," 142,017 "," 6,647 "
"$50,000 under $75,000",10027," 117,571 "," 2,764 "
"$75,000 under $100,000",10027," 79,028 "," 1,255 "
"$100,000 under $200,000",10027," 145,627 "," 1,430 "
"$200,000 or more",10027," 233,232 ", 636 
,,,
,10028," 6,143,901 "," 25,557 "
"Under $10,000",10028," 1,720 "," 3,293 "
"$10,000 under $25,000",10028," 14,756 "," 2,273 "
"$25,000 under $50,000",10028," 93,098 "," 3,682 "
"$50,000 under $75,000",10028," 177,350 "," 3,861 "
"$75,000 under $100,000",10028," 180,770 "," 2,770 "
"$100,000 under $200,000",10028," 459,112 "," 4,357 "
"$200,000 or more",10028," 5,217,094 "," 5,321 "
,,,
,10029," 900,804 "," 31,490 "
"Under $10,000",10029, 729 ," 7,570 "
"$10,000 under $25,000",10029," 41,112 "," 8,995 "
"$25,000 under $50,000",10029," 193,604 "," 9,246 "
"$50,000 under $75,000",10029," 136,662 "," 3,222 "
"$75,000 under $100,000",10029," 73,014 "," 1,141 "
"$100,000 under $200,000",10029," 90,531 ", 888 
"$200,000 or more",10029," 365,152 ", 428 
,,,
,10030," 222,561 "," 11,541 "
"Under $10,000",10030, 222 ," 2,551 "
"$10,000 under $25,000",10030," 15,531 "," 3,464 "
"$25,000 under $50,000",10030," 71,769 "," 3,446 "
"$50,000 under $75,000",10030," 49,988 "," 1,210 "
"$75,000 under $100,000",10030," 26,209 ", 436 
"$100,000 under $200,000",10030," 32,318 ", 339 
"$200,000 or more",10030," 26,524 ", 95 
,,,
,10031," 480,871 "," 26,900 "
"Under $10,000",10031, 627 ," 6,523 "
"$10,000 under $25,000",10031," 38,431 "," 8,722 "
"$25,000 under $50,000",10031," 158,980 "," 7,577 "
"$50,000 under $75,000",10031," 100,037 "," 2,384 "
"$75,000 under $100,000",10031," 54,768 ", 875 
"$100,000 under $200,000",10031," 63,540 ", 651 
"$200,000 or more",10031," 64,489 ", 168 
,,,
,10032," 490,101 "," 29,755 "
"Under $10,000",10032, 768 ," 7,045 "
"$10,000 under $25,000",10032," 41,827 "," 10,102 "
"$25,000 under $50,000",10032," 177,401 "," 8,343 "
"$50,000 under $75,000",10032," 103,586 "," 2,498 "
"$75,000 under $100,000",10032," 58,250 ", 936 
"$100,000 under $200,000",10032," 70,302 ", 701 
"$200,000 or more",10032," 37,967 ", 130 
,,,
,10033," 645,788 "," 30,134 "
"Under $10,000",10033, 724 ," 6,467 "
"$10,000 under $25,000",10033," 47,812 "," 9,669 "
"$25,000 under $50,000",10033," 187,967 "," 8,772 "
"$50,000 under $75,000",10033," 107,434 "," 2,553 "
"$75,000 under $100,000",10033," 71,679 "," 1,135 "
"$100,000 under $200,000",10033," 120,977 "," 1,195 "
"$200,000 or more",10033," 109,196 ", 343 
,,,
,10034," 415,173 "," 20,855 "
"Under $10,000",10034, 455 ," 4,543 "
"$10,000 under $25,000",10034," 25,016 "," 6,483 "
"$25,000 under $50,000",10034," 122,847 "," 5,689 "
"$50,000 under $75,000",10034," 94,871 "," 2,213 "
"$75,000 under $100,000",10034," 60,770 ", 948 
"$100,000 under $200,000",10034," 84,741 ", 858 
"$200,000 or more",10034," 26,473 ", 121 
,,,
,10035," 244,775 "," 13,067 "
"Under $10,000",10035, 245 ," 3,132 "
"$10,000 under $25,000",10035," 16,314 "," 4,012 "
"$25,000 under $50,000",10035," 73,957 "," 3,659 "
"$50,000 under $75,000",10035," 49,469 "," 1,207 "
"$75,000 under $100,000",10035," 31,884 ", 530 
"$100,000 under $200,000",10035," 42,497 ", 447 
"$200,000 or more",10035," 30,410 ", 80 
,,,
,10036," 2,180,945 "," 17,030 "
"Under $10,000",10036, 863 ," 3,019 "
"$10,000 under $25,000",10036," 16,913 "," 2,571 "
"$25,000 under $50,000",10036," 79,764 "," 3,318 "
"$50,000 under $75,000",10036," 103,331 "," 2,266 "
"$75,000 under $100,000",10036," 96,003 "," 1,466 "
"$100,000 under $200,000",10036," 258,941 "," 2,413 "
"$200,000 or more",10036," 1,625,129 "," 1,977 "
,,,
,10037," 228,651 "," 9,077 "
"Under $10,000",10037, 142 ," 1,579 "
"$10,000 under $25,000",10037," 10,676 "," 2,165 "
"$25,000 under $50,000",10037," 61,868 "," 2,753 "
"$50,000 under $75,000",10037," 64,408 "," 1,486 "
"$75,000 under $100,000",10037," 39,955 ", 627 
"$100,000 under $200,000",10037," 41,405 ", 422 
"$200,000 or more",10037," 10,197 ", 45 
,,,
,10038," 728,554 "," 10,679 "
"Under $10,000",10038, 279 ," 2,157 "
"$10,000 under $25,000",10038," 9,166 "," 1,966 "
"$25,000 under $50,000",10038," 52,143 "," 2,168 "
"$50,000 under $75,000",10038," 66,122 "," 1,414 "
"$75,000 under $100,000",10038," 52,503 ", 777 
"$100,000 under $200,000",10038," 143,370 "," 1,313 "
"$200,000 or more",10038," 404,972 ", 884 
,,,
,10039," 204,829 "," 11,473 "
"Under $10,000",10039, 174 ," 2,447 "
"$10,000 under $25,000",10039," 13,974 "," 3,460 "
"$25,000 under $50,000",10039," 71,163 "," 3,469 "
"$50,000 under $75,000",10039," 51,595 "," 1,241 "
"$75,000 under $100,000",10039," 28,610 ", 480 
"$100,000 under $200,000",10039," 30,818 ", 336 
"$200,000 or more",10039," 8,495 ", 40 
,,,
,10040," 433,223 "," 21,218 "
"Under $10,000",10040, 479 ," 4,797 "
"$10,000 under $25,000",10040," 26,540 "," 6,496 "
"$25,000 under $50,000",10040," 121,818 "," 5,847 "
"$50,000 under $75,000",10040," 93,336 "," 2,211 "
"$75,000 under $100,000",10040," 53,924 ", 859 
"$100,000 under $200,000",10040," 84,073 ", 837 
"$200,000 or more",10040," 53,053 ", 171 
,,,
,10044," 222,276 "," 4,102 "
"Under $10,000",10044, 105 , 718 
"$10,000 under $25,000",10044," 3,577 ", 628 
"$25,000 under $50,000",10044," 21,171 ", 883 
"$50,000 under $75,000",10044," 26,646 ", 594 
"$75,000 under $100,000",10044," 28,004 ", 418 
"$100,000 under $200,000",10044," 66,999 ", 616 
"$200,000 or more",10044," 75,774 ", 245 
,,,
,10065," 3,488,270 "," 13,458 "
"Under $10,000",10065, 607 ," 1,629 "
"$10,000 under $25,000",10065," 8,007 "," 1,183 "
"$25,000 under $50,000",10065," 52,454 "," 2,125 "
"$50,000 under $75,000",10065," 82,624 "," 1,839 "
"$75,000 under $100,000",10065," 85,530 "," 1,334 "
"$100,000 under $200,000",10065," 249,768 "," 2,384 "
"$200,000 or more",10065," 3,009,280 "," 2,964 "
,,,
,10069," 779,369 "," 2,205 "
"Under $10,000",10069, 129 , 221 
"$10,000 under $25,000",10069, 826 , 128 
"$25,000 under $50,000",10069," 5,231 ", 216 
"$50,000 under $75,000",10069," 8,631 ", 209 
"$75,000 under $100,000",10069," 9,416 ", 152 
"$100,000 under $200,000",10069," 50,264 ", 450 
"$200,000 or more",10069," 704,873 ", 829 
,,,
,10075," 2,828,076 "," 11,981 "
"Under $10,000",10075, 788 ," 1,506 "
"$10,000 under $25,000",10075," 6,575 ", 999 
"$25,000 under $50,000",10075," 45,217 "," 1,815 "
"$50,000 under $75,000",10075," 76,696 "," 1,695 "
"$75,000 under $100,000",10075," 82,434 "," 1,272 "
"$100,000 under $200,000",10075," 221,260 "," 2,145 "
"$200,000 or more",10075," 2,395,106 "," 2,549 "
,,,
,10101," 14,300 ", 345 
"Under $10,000",10101, -   , 65 
"$10,000 under $25,000",10101, 348 , 59 
"$25,000 under $50,000",10101," 1,966 ", 90 
"$50,000 under $75,000",10101," 2,370 ", 55 
"$75,000 under $100,000",10101," 1,917 ", 30 
"$100,000 under $200,000",10101," 2,583 ", 29 
"$200,000 or more",10101," 5,117 ", 17 
,,,
,10105," 12,998 ", 370 
"Under $10,000",10105," 1,177 ", 345 
"$10,000 under $25,000",10105, . , * 
"$25,000 under $50,000",10105, . , * 
"$50,000 under $75,000",10105, . , * 
"$75,000 under $100,000",10105, -   , 10 
"$100,000 under $200,000",10105, . , * 
"$200,000 or more",10105," 11,820 ", 15 
,,,
,10107," 208,801 ", 474 
"Under $10,000",10107, -   , 217 
"$10,000 under $25,000",10107, 213 , 40 
"$25,000 under $50,000",10107, 626 , 28 
"$50,000 under $75,000",10107, 662 , 18 
"$75,000 under $100,000",10107, 781 , 14 
"$100,000 under $200,000",10107," 3,333 ", 35 
"$200,000 or more",10107," 203,186 ", 122 
,,,
,10108," 8,395 ", 365 
"Under $10,000",10108, -   , 75 
"$10,000 under $25,000",10108, 553 , 90 
"$25,000 under $50,000",10108," 2,848 ", 113 
"$50,000 under $75,000",10108," 2,103 ", 49 
"$75,000 under $100,000",10108," 1,523 ", 24 
"$100,000 under $200,000",10108," 1,367 ", 14 
"$200,000 or more",10108, . , . 
,,,
,10111," 505,523 ", 760 
"Under $10,000",10111, 114 , 118 
"$10,000 under $25,000",10111, 365 , 37 
"$25,000 under $50,000",10111," 1,147 ", 47 
"$50,000 under $75,000",10111," 2,282 ", 60 
"$75,000 under $100,000",10111," 2,283 ", 38 
"$100,000 under $200,000",10111," 18,746 ", 176 
"$200,000 or more",10111," 480,585 ", 284 
,,,
,10112," 356,563 ", 257 
"Under $10,000",10112, 61 , 59 
"$10,000 under $25,000",10112, 107 , 15 
"$25,000 under $50,000",10112, 743 , 17 
"$50,000 under $75,000",10112, -   , 14 
"$75,000 under $100,000",10112, . , * 
"$100,000 under $200,000",10112," 1,239 ", 15 
"$200,000 or more",10112," 354,413 ", 137 
,,,
,10113," 14,806 ", 307 
"Under $10,000",10113, -   , 46 
"$10,000 under $25,000",10113, 464 , 72 
"$25,000 under $50,000",10113," 1,707 ", 71 
"$50,000 under $75,000",10113," 2,077 ", 48 
"$75,000 under $100,000",10113," 2,122 ", 33 
"$100,000 under $200,000",10113," 1,950 ", 19 
"$200,000 or more",10113," 6,485 ", 18 
,,,
,10116," 21,384 ", 785 
"Under $10,000",10116, -   , 126 
"$10,000 under $25,000",10116," 1,032 ", 156 
"$25,000 under $50,000",10116," 5,851 ", 251 
"$50,000 under $75,000",10116," 6,724 ", 153 
"$75,000 under $100,000",10116," 3,553 ", 56 
"$100,000 under $200,000",10116," 4,225 ", 43 
"$200,000 or more",10116, . , * 
,,,
,10118," 52,333 ", 281 
"Under $10,000",10118, 31 , 58 
"$10,000 under $25,000",10118, 185 , 33 
"$25,000 under $50,000",10118, 834 , 42 
"$50,000 under $75,000",10118," 1,069 ", 28 
"$75,000 under $100,000",10118, 685 , 14 
"$100,000 under $200,000",10118," 4,426 ", 45 
"$200,000 or more",10118," 45,104 ", 61 
,,,
,10123," 57,605 ", 355 
"Under $10,000",10123, -   , 94 
"$10,000 under $25,000",10123, 182 , 32 
"$25,000 under $50,000",10123, 823 , 39 
"$50,000 under $75,000",10123," 1,727 ", 41 
"$75,000 under $100,000",10123," 1,981 ", 35 
"$100,000 under $200,000",10123," 4,756 ", 48 
"$200,000 or more",10123," 48,137 ", 66 
,,,
,10128," 6,777,290 "," 33,085 "
"Under $10,000",10128," 1,898 "," 4,404 "
"$10,000 under $25,000",10128," 21,792 "," 3,364 "
"$25,000 under $50,000",10128," 141,265 "," 5,656 "
"$50,000 under $75,000",10128," 227,088 "," 4,923 "
"$75,000 under $100,000",10128," 204,596 "," 3,161 "
"$100,000 under $200,000",10128," 571,123 "," 5,410 "
"$200,000 or more",10128," 5,609,528 "," 6,167 "
,,,
,10150," 36,923 ", 707 
"Under $10,000",10150, 8 , 121 
"$10,000 under $25,000",10150, 660 , 101 
"$25,000 under $50,000",10150," 4,373 ", 185 
"$50,000 under $75,000",10150," 6,266 ", 139 
"$75,000 under $100,000",10150," 3,772 ", 60 
"$100,000 under $200,000",10150," 7,101 ", 66 
"$200,000 or more",10150," 14,745 ", 35 
,,,
,10156," 11,719 ", 259 
"Under $10,000",10156, -   , 41 
"$10,000 under $25,000",10156, 255 , 41 
"$25,000 under $50,000",10156," 1,668 ", 70 
"$50,000 under $75,000",10156," 2,354 ", 52 
"$75,000 under $100,000",10156," 1,708 ", 26 
"$100,000 under $200,000",10156," 5,735 ", 29 
"$200,000 or more",10156, . , * 
,,,
,10159," 14,551 ", 346 
"Under $10,000",10159, -   , 53 
"$10,000 under $25,000",10159, 305 , 50 
"$25,000 under $50,000",10159," 2,425 ", 98 
"$50,000 under $75,000",10159," 3,430 ", 75 
"$75,000 under $100,000",10159," 1,712 ", 28 
"$100,000 under $200,000",10159," 3,297 ", 30 
"$200,000 or more",10159," 3,381 ", 12 
,,,
,10162," 144,861 ", 736 
"Under $10,000",10162, 23 , 86 
"$10,000 under $25,000",10162, 265 , 50 
"$25,000 under $50,000",10162," 1,348 ", 55 
"$50,000 under $75,000",10162," 3,278 ", 74 
"$75,000 under $100,000",10162," 5,099 ", 78 
"$100,000 under $200,000",10162," 19,857 ", 171 
"$200,000 or more",10162," 114,990 ", 222 
,,,
,10163," 97,212 "," 1,245 "
"Under $10,000",10163, 29 , 179 
"$10,000 under $25,000",10163," 1,188 ", 171 
"$25,000 under $50,000",10163," 6,944 ", 276 
"$50,000 under $75,000",10163," 8,309 ", 185 
"$75,000 under $100,000",10163," 7,284 ", 110 
"$100,000 under $200,000",10163," 17,564 ", 162 
"$200,000 or more",10163," 55,894 ", 162 
,,,
,10165," 81,584 ", 308 
"Under $10,000",10165, -   , 73 
"$10,000 under $25,000",10165, 251 , 43 
"$25,000 under $50,000",10165, 757 , 37 
"$50,000 under $75,000",10165, 860 , 25 
"$75,000 under $100,000",10165, 690 , 15 
"$100,000 under $200,000",10165," 4,506 ", 47 
"$200,000 or more",10165," 74,521 ", 68 
,,,
,10168," 167,017 ", 276 
"Under $10,000",10168, 21 , 62 
"$10,000 under $25,000",10168, 165 , 20 
"$25,000 under $50,000",10168, 782 , 32 
"$50,000 under $75,000",10168, 809 , 24 
"$75,000 under $100,000",10168, 714 , 13 
"$100,000 under $200,000",10168," 3,688 ", 37 
"$200,000 or more",10168," 160,838 ", 88 
,,,
,10170," 42,779 ", 430 
"Under $10,000",10170, -   , 253 
"$10,000 under $25,000",10170, 216 , 27 
"$25,000 under $50,000",10170, 561 , 23 
"$50,000 under $75,000",10170," 1,153 ", 24 
"$75,000 under $100,000",10170," 1,038 ", 15 
"$100,000 under $200,000",10170," 3,606 ", 30 
"$200,000 or more",10170," 36,204 ", 58 
,,,
,10172," 43,846 ", 370 
"Under $10,000",10172, -   , 135 
"$10,000 under $25,000",10172, 46 , 16 
"$25,000 under $50,000",10172, 218 , 13 
"$50,000 under $75,000",10172, 640 , 16 
"$75,000 under $100,000",10172, 878 , 14 
"$100,000 under $200,000",10172," 4,618 ", 39 
"$200,000 or more",10172," 37,447 ", 137 
,,,
,10185," 58,926 ", 550 
"Under $10,000",10185, -   , 47 
"$10,000 under $25,000",10185, 369 , 61 
"$25,000 under $50,000",10185," 2,244 ", 94 
"$50,000 under $75,000",10185," 4,261 ", 95 
"$75,000 under $100,000",10185," 3,308 ", 50 
"$100,000 under $200,000",10185," 8,123 ", 70 
"$200,000 or more",10185," 40,622 ", 133 
,,,
,10274," 2,727,824 ", 527 
"Under $10,000",10274, 123 , 115 
"$10,000 under $25,000",10274, 485 , 50 
"$25,000 under $50,000",10274," 1,534 ", 66 
"$50,000 under $75,000",10274," 1,767 ", 42 
"$75,000 under $100,000",10274," 1,629 ", 24 
"$100,000 under $200,000",10274," 2,427 ", 23 
"$200,000 or more",10274," 2,719,858 ", 207 
,,,
,10276," 11,690 ", 348 
"Under $10,000",10276, -   , 75 
"$10,000 under $25,000",10276, 476 , 71 
"$25,000 under $50,000",10276," 2,498 ", 99 
"$50,000 under $75,000",10276," 1,843 ", 44 
"$75,000 under $100,000",10276," 1,539 ", 24 
"$100,000 under $200,000",10276," 5,333 ", 35 
"$200,000 or more",10276, . , * 
,,,
,10280," 547,165 "," 3,826 "
"Under $10,000",10280, 90 , 352 
"$10,000 under $25,000",10280," 1,698 ", 276 
"$25,000 under $50,000",10280," 10,329 ", 439 
"$50,000 under $75,000",10280," 22,505 ", 505 
"$75,000 under $100,000",10280," 26,960 ", 404 
"$100,000 under $200,000",10280," 108,720 ", 978 
